Date,Loc1,Loc2,Hour,Minute,Second,Content,Unnamed: 7,State
2018-03-17 00:00:00,42.4301542,-71.61625019,9,49,25,Come join us for a tasting or tour to celebrate #stpatricksday. We¡­ https://t.co/Xj99snxXPN,,MA
2018-03-17 00:00:00,38.0297,-84.4947,9,49,33,Happy St Patrick's Day!  #stpatricksday  #partirish #green #luckoftheirish @ Lexington,Kentucky https://t.co/08uL507Byg,KY
2018-03-17 00:00:00,32.907,-96.5474,9,49,37,Saturday selfie #stpatricksday @ Rowlett,Texas https://t.co/FFsPXNJdPh,TX
2018-03-17 00:00:00,35.1990235,-80.868332,9,49,43,???? Happy Saint Patrick's Day ????..https://t.co/KhlZfJ9MFM ..#PinkSaltDesigns #jewelry¡­ https://t.co/XHgog23nOK,,NC
2018-03-17 00:00:00,41.07541,-85.14564,9,50,11,a #stpatricksday grande house blend,$2.43....#HappyStPatricksDay @ Starbucks https://t.co/bOCgEg70ta,IN
2018-03-17 00:00:00,42.546804,-83.2156709,9,51,1,All the rage! They¡¯re selling out.... get O¡¯ver to Dick O Dows.... nows! ?? #stpatricksday¡­ https://t.co/IDemsJtTGx,,MI
2018-03-17 00:00:00,33.9534,-84.5406,9,51,10,I can't believe I forgot to pack anything green for #stpatricksday ??throwing it back to this¡­ https://t.co/JdIGe8Xwqb,,GA
2018-03-17 00:00:00,38.74383687,-77.67569858,9,51,11,It¡¯s St.Patricks day... how¡¯s your red hair don¡¯t care? .#Repost @cornwellstyling with¡­ https://t.co/8UNzHtQ76l,,VA
2018-03-17 00:00:00,42.3422,-88.2667,9,51,15,McHenry Kiwanis Shamrock Shuffule!..#mchenrymatters #ILoveMcHenry #stpatricksday¡­ https://t.co/ahJRsN8iib,,IL
2018-03-17 00:00:00,32.8241299,-96.76987,9,51,31,Join us for the #RadioDJs takeover today at halcyondallas after the #stpatricksday #parade¡­ https://t.co/SwqsDESAKD,,TX
2018-03-17 00:00:00,29.7629,-95.3832,9,52,8,Thaaaaat¡¯s pretty accurate. #WhiskeyShotsDuke Happy St. Patrick¡¯s Day! #stpatricksday ???????????? @¡­ https://t.co/eT8IcGwokw,,TX
2018-03-17 00:00:00,38.940161,-77.06073942,9,52,27,Happy St Patricks Day.....#shadesofgreen #stpatricksday #lucky #irishamericans #irishdance¡­ https://t.co/8FDx99Fydx,,DC
2018-03-17 00:00:00,35.82603971,-78.57058815,9,52,58,I am Celebrate St Patrick's Day with all Green @ofsully Patrick's Day #stpatricksday #Green¡­ https://t.co/YpWh9JGU3o,,NC
2018-03-17 00:00:00,32.850529,-96.769431,9,54,14,Pre-race with kellydearmore #stpatricksday betoorourke @ Dash Down¡­ https://t.co/s7LVIkLvzy,,TX
2018-03-17 00:00:00,41.85219299,-72.64267073,9,54,31,????Top o¡¯ the mornin¡¯ ????.#stpatricksday #stpaddysday #shamrocklove #cupcake #cuppy #scratchmade¡­ https://t.co/nDl3YQYaiF,,CT
2018-03-17 00:00:00,38.24917678,-85.60685483,9,54,55,Happy St. Patrick¡¯s Day!!! ????????#stpatricksday #happystpatricksday #oxmoormazda #oxmoorautogroup¡­ https://t.co/II5bRob4wo,,KY
2018-03-17 00:00:00,45.4714691,-84.9051041,9,55,1,Oh,Jameson... you get me every time. #stpatricksday @ Nubs Nob Ski¡­ https://t.co/rsp6w7YYIr,MI
2018-03-17 00:00:00,32.44395691,-90.15180767,9,55,30,Are YOU going green for #StPatricksDay? Inspired by our Global Artistic Director for Aveda!¡­ https://t.co/XHLj1dnqBw,,MS
2018-03-17 00:00:00,35.22357,-97.43911,9,55,58,St. Patty's day.#greeneggs #green #stpatricksday #wavingwheatbakery #greenmutiny @ Waving Wheat¡­ https://t.co/Hb6v61eHN7,,OK
2018-03-17 00:00:00,41.50087265,-81.69961276,9,56,26,Great #StPatricksDay #5K courtesy of the @jameson_us team! #Slainte #RunWithTheWinners @ W. 6th¡­ https://t.co/WcVc0erNq8,,OH
2018-03-17 00:00:00,31.28043695,-81.34911079,9,56,39,Happy St.Patricks Day #happystpattys  #happystpatricksday @ Hampton Plantation - St. Simons Island https://t.co/8RhBDwWYRx,,Georgia
2018-03-17 00:00:00,35.0455,-85.2673,9,57,9,The Breastplate of St. Patrick...........#irishgirl #catholicmom #stpatricksday¡­ https://t.co/RZby8QIGWs,,TN
2018-03-17 00:00:00,29.98058,-90.12705,9,57,33,[patty happy]. lime green charmeuse slip dress $356 + sequin bomber $795. #ootd #stpatricksday¡­ https://t.co/DT5RxhK7yr,,LA
2018-03-17 00:00:00,40.45,-79.985,9,57,50,About to step off #stpatricksday #parade #wvualumniband #wvu @ Strip District,Pittsburgh https://t.co/gKZ8EC3tOv,PA
2018-03-17 00:00:00,30.2672,-97.7639,9,58,14,"May the ""Lick"" of the Irish be with you today! Happy Saint Patty's Day!.#stpatricksday¡­ https://t.co/NyXBuWJUlB",,TX
2018-03-17 00:00:00,41.483611,-81.710278,9,58,59,Happy st. Patrick¡¯s day. Urban Orchid is closed to celebrate. #stpatricksday #urbanorchid¡­ https://t.co/JqKOd78hGo,,OH
2018-03-17 00:00:00,39.98838,-75.00799,9,59,24,Real men cook in kilts! #stpatricksday #chef #chefsofinstagram #cheflife #food #foodie¡­ https://t.co/bDclh0E8Ta,,NJ
2018-03-17 00:00:00,40.7161,-73.8506,9,59,24,Mornin¡¯ ?????? #stpatricksday #thasgoodwhiskey #whiskey @ Forest Hills,New York https://t.co/tHOacl09lj,NY
2018-03-17 00:00:00,41.90461452,-87.71417289,9,59,33,Happy Saint Patrick's Day!?.#eringobragh?? @ Humboldt Park,Chicago https://t.co/3EwdjWDo2b,IL
2018-03-17 00:00:00,47.5037,-111.286,9,59,53,#stpatricksday #ireland #irish #heritage Have a feckin fun day people! Get out and enjoy your¡­ https://t.co/37jwaxIo7o,,MT
2018-03-17 00:00:00,44.9219718,-93.13555863,9,59,57,You can't drink all day unless you start in the morning..#shamrockprincess #stpatricksday¡­ https://t.co/V26erwaIu2,,MN
2018-03-17 00:00:00,41.5167,-90.5333,10,0,12,The forecast for today is snow showers with a high of 47¡ãF and a low of 27¡ãF. #NationalIrishCoffeeDay #StPatricksDay #CornDogDay,,IL
2018-03-17 00:00:00,39.6181,-75.0761,10,1,22,Happy St. Patrick¡¯s Day everyone! ?????????? #StPatricksDay #IrishBlessing #IrishHeritage #StPatsDay¡­ https://t.co/VarRkFIvIu,,NJ
2018-03-17 00:00:00,42.20416667,-72.61805556,10,2,1,We got the green!! Fresh,vibrant,MA
2018-03-17 00:00:00,29.47433787,-98.69603119,10,2,55,Not that I'm excited or anything. #stpatricksday #hat #me #redhairrocks #irishpride #green¡­ https://t.co/wZxtZh69q7,,TX
2018-03-17 00:00:00,38.6272,-90.1978,10,2,58,St.Patricks day shave with Jeeves of Hudson Street Bay Rum soap. This soap is made in MO.¡­ https://t.co/j7slwknEkG,,MO
2018-03-17 00:00:00,40.75618,-73.97772,10,3,3,#stpatricksday breakfast with q104.3 @ Connolly's Pub & Restaurant https://t.co/ggv0m0qHpj,,NY
2018-03-17 00:00:00,35.0544,-89.6823,10,3,17,Happy Saturday!! Don't forget to wear your green today!! #stpatricksday #saturdaymorning¡­ https://t.co/uIwM1pjVNy,,TN
2018-03-17 00:00:00,40.74158,-73.98093,10,4,22,#stpatricksday party today @vandiemens_nyc!! Come celebrate the Irish in you!! ??¡­ https://t.co/H5wQelcMs8,,NY
2018-03-17 00:00:00,41.9710388,-88.0174332,10,4,43,Go Green ?? .#happystpatricksday .#stpatricksday #amsterdamgreen #antibesgreen #anniesloan¡­ https://t.co/rj1fWgXt12,,IL
2018-03-17 00:00:00,45.04111111,-93.78583333,10,5,16,Happy Saint Patrick¡¯s Day! #stpatricksday @ Delano,Minnesota https://t.co/F4Xv6vnpN5,MN
2018-03-17 00:00:00,33.96868265,-84.01645303,10,5,21,It¡¯s #stpatricksday so here¡¯s a little green for ya ?? @ The Home Depot https://t.co/MPZJyq76D5,,GA
2018-03-17 00:00:00,32.7153,-117.156,10,6,16,Happy St. Patrick¡¯s Day!.#stpatricksday @ San Diego,California https://t.co/wt9nEfKERH,CA
2018-03-17 00:00:00,41.95644,-72.36808,10,6,22,???? Happy St. Paddy¡¯s day! ???? #stpaddysday #stpatricksday #leprechaun #irish #kissmeimirish¡­ https://t.co/AhmQ1ZU7df,,CT
2018-03-17 00:00:00,41.33930481,-72.97984721,10,7,16,Happy Saint Patrick's Day! We're celebrating with fresh new cans of Double Fuzzy! Full case¡­ https://t.co/qwiZ2Cgz6Y,,CT
2018-03-17 00:00:00,32.200409,-110.9981377,10,7,57,Sunrise over #tucson #starrpass #stpatricksday #dove #gamblequail #coffeetime #weekendvibes¡­ https://t.co/p8qFyaaCRC,,AZ
2018-03-17 00:00:00,35.82603971,-78.57058815,10,8,29,Hey Everyone I just want to say that Happy St Patrick's day #stpatricksday¡­ https://t.co/8YwarFw339,,NC
2018-03-17 00:00:00,40.65708,-73.6368899,10,8,45,Happy #stpatricksday from us at #restfloatspa #sensorydeprivation #lucky #spaday¡­ https://t.co/uITodlETfb,,NY
2018-03-17 00:00:00,42.4611,-83.1291,10,8,51,Happy St. Patty¡¯s Day! #stpatricksday #fightmeimirish #readingtime #irish #literacymatters¡­ https://t.co/hZ6XV13IeW,,MI
2018-03-17 00:00:00,40.76298303,-73.97249222,10,8,54,Happy St Paddy's Day! .#wheninrome.#stpatricksday @ Starbucks https://t.co/L2OqChSW5x,,NY
2018-03-17 00:00:00,41.8369,-87.6844,10,8,55,Happy St Patrick¡¯s Day y¡¯all ¡ª if you get lucky this weekend,be safe! ???????????? #stpatricksday¡­ https://t.co/d7b16hYKCD,IL
2018-03-17 00:00:00,39.84702295,-86.14602724,10,9,9,Happy Saint Patrick's day! We are open 10-9 today! Wondering if we have that record you've been¡­ https://t.co/GniwF92bxd,,IN
2018-03-17 00:00:00,41.65919,-91.53411,10,9,28,Activate: Leprechaun!  #icleprechaun #donnellysic #stpatricksday @ Donnelly's Pub IC https://t.co/TPEaF2YVUV,,IA
2018-03-17 00:00:00,44.96695156,-93.26086743,10,9,47,¡°Mimi! You forgot your shoes!¡± #matildamaeve #sassy #stpatricksday #wearingofthegreen¡­ https://t.co/xTI5lQ0OIb,,MN
2018-03-17 00:00:00,35.05471,-78.89827,10,9,55,Happy St Patrick¡¯s Day from NextHome!! #happystpatricksday #nexthome #whosnext #stpatricksday @¡­ https://t.co/fo011sK0VM,,NC
2018-03-17 00:00:00,33.5010804,-101.9050749,10,10,29,Happy St. Patrick¡¯s Day,friends! ??????  #stpatricksday #stpaddysday #lucky #realtor¡­ https://t.co/hrGi8vGsDj,TX
2018-03-17 00:00:00,29.74200403,-95.45298994,10,10,41,This is Andi Kveton and STACKED @equinox #riveroaksequinox #equinoxstrong #stpatricksday¡­ https://t.co/lD0PrP45dE,,TX
2018-03-17 00:00:00,44.92992,-93.0773,10,10,49,Happy #StPatricksDay #StPaul. Stop in and see us today after the parade! #luckoftheirish¡­ https://t.co/gJU8ELTFVA,,MN
2018-03-17 00:00:00,39.58,-75.64,10,11,22,We¡¯ve ALWAYS got our green on!  Happy St. Patrick¡¯s Day! #stpatricksday @ New Castle County,¡­ https://t.co/PiRzaIS6Ex,DE
2018-03-17 00:00:00,43.208,-77.5752,10,11,54,Loving me an Irish breakfast with the crew #stpatricksday #jamesonblackbarrel¡­ https://t.co/LTq8aSzEPv,,NY
2018-03-17 00:00:00,33.1413,-96.8131,10,11,55,#stpatricksday #texasgirl joshabbottband @ Frisco,Texas https://t.co/D9q7kvtBlU,TX
2018-03-17 00:00:00,42.34702943,-71.07911557,10,12,3,St. Patrick¡¯s Day ?? #stpatricksdayboston #stpatricksday #boston¡­ https://t.co/6zb2no48eg,,MA
2018-03-17 00:00:00,32.7833,-96.8,10,12,26,The beer is green. You just gotta look deeper..#budweiser #stpatricksday @ Dallas,Texas https://t.co/znEsws4PSt,TX
2018-03-17 00:00:00,36.2285,-115.147,10,12,46,Happy St Patrick¡¯s Day ??#stpatricksday #blessings #stpatrickday2018¡­ https://t.co/osmwfIfsyn,,NV
