,stateAbb,NAME,9SUM,10SUM,11SUM,12SUM,13SUM,14SUM,15SUM,16SUM,17SUM,18SUM,19SUM,20SUM,21SUM,22SUM,23SUM,9PERCENT,10PERCENT,11PERCENT,12PERCENT,13PERCENT,14PERCENT,15PERCENT,16PERCENT,17PERCENT,18PERCENT,19PERCENT,20PERCENT,21PERCENT,22PERCENT,23PERCENT,9SA,10SA,11SA,12SA,13SA,14SA,15SA,16SA,17SA,18SA,19SA,20SA,21SA,22SA,23SA
0,WA,Washington,0,1,3,2,3,6,0,3,3,4,4,5,4,5,3,0,0,2,-0.3333333333,0.5,1,-1,0,0,0.3333333333,0,0.25,-0.2,0.25,-0.4,0,0.8,0.4666666667,0.9833333333,1,0.8,0,0.8,0.875,0.9,0.5333333333,1,0.9944444444,0.8,1.154166667
1,WI,Wisconsin,0,2,2,3,6,2,5,5,3,1,2,4,0,3,1,0,0,0,0.5,1,-0.6666666667,1.5,0,-0.4,-0.6666666667,1,1,-1,0,-0.6666666667,0,1.2,0.8,-0.1833333333,2.2,0.2,1.1,0.725,0.8,0,0.8,0.3,0,-0.2083333333,0.8
2,WV,West Virginia,0,0,0,1,0,0,0,1,0,0,2,1,0,1,0,0,0,0,0,-1,0,0,0,-1,0,0,-0.5,-1,0,-1,0,0,0,0,0,0,0,0.2,0,0,-0.1875,0.075,0,0.25,0
3,FL,Florida,0,11,20,23,30,26,14,16,25,18,30,19,18,8,8,0,0,0.8181818182,0.15,0.3043478261,-0.1333333333,-0.4615384615,0.1428571429,0.5625,-0.28,0.6666666667,-0.3666666667,-0.05263157895,-0.5555555556,0,0,1.483333333,8.125,7.702380952,10.66991793,8.5,0.4916666667,6.633333333,4.079166667,4.375,5.531388889,3.616666667,4.9,2.361111111,2.466666667
4,WY,Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.55
5,NH,New Hampshire,0,1,0,0,1,3,1,1,1,2,0,0,0,0,0,0,0,-1,0,0,2,-0.6666666667,0,0,1,-1,0,0,0,0,0,0.8,0,0,0.06666666667,1.472348485,0.525,-0.125,0.5,0,0,0,0,0,0
6,NJ,New Jersey,1,8,3,8,5,7,2,8,5,12,8,2,3,1,1,0,7,-0.625,1.666666667,-0.375,0.4,-0.7142857143,3,-0.375,1.4,-0.3333333333,-0.75,0.5,-0.6666666667,0,0.2,3.470833333,0.8,2.20952381,1.518181818,1.3,0.4333333333,4.916666667,1.003571429,3.247727273,0.6125,0,2.25,0,0
7,NM,New Mexico,0,0,0,0,2,1,0,1,0,2,0,0,0,1,1,0,0,0,0,0,-0.5,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,1.10625,0.8,0,0,0,0.6,0,0,0,0.7,0
8,NC,North Carolina,2,7,6,6,15,5,4,4,7,10,6,4,6,7,3,0,2.5,-0.1428571429,0,1.5,-0.6666666667,-0.2,0,0.75,0.4285714286,-0.4,-0.3333333333,0.5,0.1666666667,-0.5714285714,0.6,2.547916667,1.683333333,4,4.425,0.2,0,0.9875,1.8,1.033333333,3.2625,1.333333333,1.0125,1.966666667,1.55
9,ND,North Dakota,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0.8,0,0,0,0,0,0,0,0
10,NE,Nebraska,0,0,2,0,0,0,0,2,1,0,1,2,1,2,1,0,0,0,-1,0,0,0,0,-0.5,-1,0,1,-0.5,1,-0.5,0,0,0.5333333333,0,0,0,0,0.8666666667,0.8,0,-0.1,-0.1222222222,0.75,0.8,0.8
11,NY,New York,1,21,19,31,34,30,28,34,27,27,21,20,22,16,16,0,20,-0.09523809524,0.6315789474,0.09677419355,-0.1176470588,-0.06666666667,0.2142857143,-0.2058823529,0,-0.2222222222,-0.04761904762,0.1,-0.2727272727,0,0,4.617424242,5.918030303,11.35454545,7.254587542,8.865458153,7.683005051,6.296969697,7.187272727,4.776231061,1.732954545,2.01780303,0.9095959596,5.233333333,4.581818182
12,RI,Rhode Island,0,1,2,0,3,2,1,2,3,1,1,0,1,2,0,0,0,1,-1,0,-0.3333333333,-0.5,1,0.5,-0.6666666667,0,-1,0,1,-1,0,0.5,0.975,0,-0.35,0.8,0,0.4,1.214285714,-0.25,0,0,-0.225,0.7416666667,0
13,NV,Nevada,0,2,2,3,1,2,5,8,4,3,3,3,2,3,6,0,0,0,0.5,-0.6666666667,1,1.5,0.6,-0.5,-0.25,0,0,-0.3333333333,0.5,1,0,1.366666667,0.8666666667,1.566666667,0.6,0.8,1.8,1.823611111,2.7,1.0375,0,0,0.4166666667,1.283333333,0.9075757576
14,CO,Colorado,0,1,2,7,4,5,7,1,6,4,4,5,3,7,2,0,0,1,2.5,-0.4285714286,0.25,0.4,-0.8571428571,5,-0.3333333333,0,0.25,-0.4,1.333333333,-0.7142857143,0,-0.025,0.5,2.920833333,0.3571428571,1.666666667,2.35,0,0.4333333333,0.8,1,1.159027778,2.2,1.6,0.8
